Year,SeriesID,SeriesDescription,Unnamed: 3,GeoAreaCode,GeoAreaName,TimePeriod,Source,FootNote,Nature,Units,Reporting Type,ISOalpha3,Type,SeriesCode,Value
1977,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1977,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.308275251
1978,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1978,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.337661037
1979,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1979,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.362579942
1980,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1980,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.416530229
1981,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1981,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.388702268
1982,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1982,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.403250754
1983,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1983,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.395220621
1984,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1984,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.365400364
1985,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1985,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.388096265
1986,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1986,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.394019984
1987,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1987,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.397584052
1988,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1988,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.388531187
1989,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1989,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.392573504
1990,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1990,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.399936236
1991,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1991,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.334940799
1992,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1992,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.342987416
1993,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1993,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.339675504
1994,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1994,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.344275836
1995,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1995,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.317121569
1996,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1996,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.319994725
1997,1753.0,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1997,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.366330256
