Value,Disaggregation combinations using this value,Number of indicators
1.0,52,1
100.0,52,1
104.0,39,1
108.0,26,1
112.0,39,1
116.0,52,1
12.0,52,1
120.0,52,1
124.0,52,1
140.0,26,1
143.0,52,1
144.0,52,1
145.0,52,1
148.0,39,1
15.0,52,1
150.0,52,1
152.0,52,1
156.0,52,1
170.0,52,1
174.0,13,1
178.0,52,1
180.0,39,1
188.0,52,1
191.0,52,1
196.0,52,1
199.0,52,1
202.0,52,1
203.0,52,1
204.0,52,1
208.0,52,1
21.0,52,1
214.0,52,1
218.0,52,1
222.0,52,1
231.0,26,1
233.0,52,1
24.0,26,1
246.0,52,1
250.0,52,1
262.0,13,1
266.0,52,1
268.0,52,1
270.0,13,1
275.0,52,1
276.0,52,1
288.0,52,1
30.0,52,1
300.0,52,1
31.0,39,1
32.0,52,1
320.0,39,1
324.0,52,1
332.0,39,1
34.0,52,1
340.0,52,1
344.0,52,1
348.0,52,1
35.0,52,1
352.0,26,1
356.0,52,1
36.0,52,1
360.0,52,1
364.0,52,1
368.0,52,1
372.0,52,1
376.0,52,1
380.0,52,1
384.0,39,1
388.0,39,1
392.0,52,1
398.0,52,1
4.0,52,1
40.0,52,1
400.0,52,1
404.0,52,1
410.0,52,1
412.0,52,1
414.0,39,1
417.0,52,1
418.0,39,1
419.0,52,1
422.0,52,1
426.0,26,1
428.0,52,1
430.0,39,1
432.0,52,1
434.0,13,1
440.0,52,1
442.0,39,1
450.0,39,1
454.0,52,1
458.0,52,1
462.0,13,1
466.0,52,1
470.0,52,1
478.0,39,1
48.0,39,1
480.0,52,1
484.0,39,1
496.0,52,1
498.0,52,1
499.0,39,1
50.0,52,1
504.0,26,1
508.0,26,1
51.0,52,1
512.0,13,1
513.0,52,1
515.0,52,1
516.0,39,1
524.0,52,1
528.0,52,1
53.0,52,1
554.0,52,1
558.0,52,1
56.0,52,1
562.0,39,1
566.0,52,1
578.0,39,1
586.0,52,1
591.0,52,1
600.0,39,1
604.0,52,1
608.0,52,1
616.0,52,1
620.0,52,1
630.0,13,1
634.0,13,1
64.0,13,1
642.0,52,1
643.0,52,1
646.0,39,1
68.0,52,1
682.0,52,1
686.0,52,1
688.0,52,1
694.0,52,1
70.0,52,1
702.0,52,1
703.0,52,1
704.0,39,1
705.0,52,1
706.0,13,1
710.0,52,1
716.0,52,1
72.0,39,1
722.0,52,1
724.0,52,1
728.0,26,1
729.0,26,1
747.0,52,1
748.0,13,1
752.0,52,1
753.0,52,1
756.0,39,1
76.0,52,1
760.0,13,1
762.0,52,1
764.0,52,1
768.0,52,1
780.0,26,1
784.0,52,1
788.0,39,1
792.0,52,1
795.0,26,1
8.0,52,1
800.0,52,1
804.0,52,1
807.0,52,1
818.0,52,1
826.0,52,1
834.0,52,1
84.0,13,1
840.0,52,1
854.0,52,1
858.0,52,1
860.0,52,1
862.0,52,1
887.0,26,1
894.0,52,1
9.0,52,1
