Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,52,1
Albania,52,1
Algeria,52,1
Angola,26,1
Argentina,52,1
Armenia,52,1
AUS and NZ,52,1
Australia,52,1
Austria,52,1
Azerbaijan,39,1
Bahrain,39,1
Bangladesh,52,1
Belarus,39,1
Belgium,52,1
Belize,13,1
Benin,52,1
Bhutan,13,1
Bolivia,52,1
Bosnia and Herzegovina,52,1
Botswana,39,1
Brazil,52,1
Bulgaria,52,1
Burkina Faso,52,1
Burundi,26,1
Cambodia,52,1
Cameroon,52,1
Canada,52,1
Central African Republic,26,1
Central Asia,52,1
Chad,39,1
Chile,52,1
China,52,1
Colombia,52,1
Comoros,13,1
"Congo, Dem. Rep.",39,1
"Congo, Rep.",52,1
Costa Rica,52,1
Cote d'Ivoire,39,1
Croatia,52,1
Cyprus,52,1
Czech Republic,52,1
Denmark,52,1
Developing,52,1
Djibouti,13,1
Dominican Republic,52,1
Eastern Asia and South-eastern Asia,52,1
Eastern Asia,52,1
Ecuador,52,1
"Egypt, Arab Rep.",52,1
El Salvador,52,1
Estonia,52,1
Ethiopia,26,1
Europe,52,1
Finland,52,1
France,52,1
Gabon,52,1
"Gambia, The",13,1
Georgia,52,1
Germany,52,1
Ghana,52,1
Greece,52,1
Guatemala,39,1
Guinea,52,1
Haiti,39,1
Honduras,52,1
"Hong Kong SAR, China",52,1
Hungary,52,1
Iceland,26,1
India,52,1
Indonesia,52,1
"Iran, Islamic Rep.",52,1
Iraq,52,1
Ireland,52,1
Israel,52,1
Italy,52,1
Jamaica,39,1
Japan,52,1
Jordan,52,1
Kazakhstan,52,1
Kenya,52,1
"Korea, Rep.",52,1
Kosovo,52,1
Kuwait,39,1
Kyrgyz Republic,52,1
Landlocked developing countries,52,1
Lao PDR,39,1
Latin America and Caribbean (UN),52,1
Latvia,52,1
Least developed countries,52,1
Lebanon,52,1
Lesotho,26,1
Liberia,39,1
Libya,13,1
Lithuania,52,1
Luxembourg,39,1
Madagascar,39,1
Malawi,52,1
Malaysia,52,1
Maldives,13,1
Mali,52,1
Malta,52,1
Mauritania,39,1
Mauritius,52,1
Mexico,39,1
Moldova,52,1
Mongolia,52,1
Montenegro,39,1
Morocco,26,1
Mozambique,26,1
Myanmar,39,1
Namibia,39,1
Nepal,52,1
Netherlands,52,1
New Zealand,52,1
Nicaragua,52,1
Niger,39,1
Nigeria,52,1
North Macedonia,52,1
Northern Africa,52,1
Northern America and Europe,52,1
Northern America,52,1
Norway,39,1
Oceania,52,1
Oman,13,1
Pakistan,52,1
Panama,52,1
Paraguay,39,1
Peru,52,1
Philippines,52,1
Poland,52,1
Portugal,52,1
Puerto Rico,13,1
Qatar,13,1
Romania,52,1
Russian Federation,52,1
Rwanda,39,1
Saudi Arabia,52,1
Senegal,52,1
Serbia,52,1
Sierra Leone,52,1
Singapore,52,1
Slovak Republic,52,1
Slovenia,52,1
Small island developing states,52,1
Somalia,13,1
South Africa,52,1
South-eastern Asia,52,1
South Sudan,26,1
Southern Asia,52,1
Spain,52,1
Sri Lanka,52,1
Sub-Saharan Africa (UN),52,1
Sudan,26,1
Swaziland,13,1
Sweden,52,1
Switzerland,39,1
Syrian Arab Republic,13,1
"Taiwan, China",52,1
Tajikistan,52,1
Tanzania,52,1
Thailand,52,1
Togo,52,1
Trinidad and Tobago,26,1
Tunisia,39,1
Turkey,52,1
Turkmenistan,26,1
Uganda,52,1
Ukraine,52,1
United Arab Emirates,52,1
United Kingdom,52,1
United States,52,1
Uruguay,52,1
Uzbekistan,52,1
"Venezuela, RB",52,1
Vietnam,39,1
West Bank and Gaza,52,1
Western Asia and Northern Africa,52,1
Western Asia,52,1
World,52,1
"Yemen, Rep.",26,1
Zambia,52,1
Zimbabwe,52,1
