Value,Disaggregation combinations using this value,Number of indicators
AFG,52,1
AGO,26,1
ALB,52,1
ARE,52,1
ARG,52,1
ARM,52,1
AUS,52,1
AUT,52,1
AZE,39,1
BDI,26,1
BEL,52,1
BEN,52,1
BFA,52,1
BGD,52,1
BGR,52,1
BHR,39,1
BIH,52,1
BLR,39,1
BLZ,13,1
BOL,52,1
BRA,52,1
BTN,13,1
BWA,39,1
CAF,26,1
CAN,52,1
CHE,39,1
CHL,52,1
CHN,52,1
CIV,39,1
CMR,52,1
COD,39,1
COG,52,1
COL,52,1
COM,13,1
CRI,52,1
CYP,52,1
CZE,52,1
DEU,52,1
DJI,13,1
DNK,52,1
DOM,52,1
DZA,52,1
ECU,52,1
EGY,52,1
ESP,52,1
EST,52,1
ETH,26,1
FIN,52,1
FRA,52,1
GAB,52,1
GBR,52,1
GEO,52,1
GHA,52,1
GIN,52,1
GMB,13,1
GRC,52,1
GTM,39,1
HKG,52,1
HND,52,1
HRV,52,1
HTI,39,1
HUN,52,1
IDN,52,1
IND,52,1
IRL,52,1
IRN,52,1
IRQ,52,1
ISL,26,1
ISR,52,1
ITA,52,1
JAM,39,1
JOR,52,1
JPN,52,1
KAZ,52,1
KEN,52,1
KGZ,52,1
KHM,52,1
KOR,52,1
KWT,39,1
LAO,39,1
LBN,52,1
LBR,39,1
LBY,13,1
LKA,52,1
LSO,26,1
LTU,52,1
LUX,39,1
LVA,52,1
MAR,26,1
MDA,52,1
MDG,39,1
MDV,13,1
MEX,39,1
MKD,52,1
MLI,52,1
MLT,52,1
MMR,39,1
MNE,39,1
MNG,52,1
MOZ,26,1
MRT,39,1
MUS,52,1
MWI,52,1
MYS,52,1
NAM,39,1
NER,39,1
NGA,52,1
NIC,52,1
NLD,52,1
NOR,39,1
NPL,52,1
NZL,52,1
OMN,13,1
PAK,52,1
PAN,52,1
PER,52,1
PHL,52,1
POL,52,1
PRI,13,1
PRT,52,1
PRY,39,1
PSE,52,1
QAT,13,1
ROU,52,1
RUS,52,1
RWA,39,1
SAU,52,1
SDN,26,1
SEN,52,1
SGP,52,1
SLE,52,1
SLV,52,1
SOM,13,1
SRB,52,1
SSD,26,1
SVK,52,1
SVN,52,1
SWE,52,1
SWZ,13,1
SYR,13,1
TCD,39,1
TGO,52,1
THA,52,1
TJK,52,1
TKM,26,1
TTO,26,1
TUN,39,1
TUR,52,1
TWN,52,1
TZA,52,1
UGA,52,1
UKR,52,1
URY,52,1
USA,52,1
UZB,52,1
VEN,52,1
VNM,39,1
XKX,52,1
YEM,26,1
ZAF,52,1
ZMB,52,1
ZWE,52,1
